Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Popularity
Men Wallets Pocket Wallet- Brown,product,KSh 372,48%,0,Low
Fashion Mens Watches Stainless Steel Casual Sports Business Watch,product,KSh 269,46%,0,Low
Faux Leather Wallet For Men - Grey/Brown,product,KSh 512,39%,0,Low
Fashion Men's Belt Buckle Canvas Belts Adjusted Leisure Belts,product,KSh 229,54%,0,Low
Fashion Women Trendy Belt Casual Pu leather Belt Buckle Retro Belt,product,KSh 329,34%,0,Low
Fashion 5Pcs Boho Rings Imitation Pearls Curved Shape Silver,product,KSh 52,40%,0,Low
Fashion Butterfly Necklace Double Layer Rust-proof Alloy-Silver,product,KSh 98,41%,0,Low
Fashion 1Pc Women Rhinestone Flower Butterfly Ear Stud Cuff Clip Earring Helix Jewelry-2#,product,KSh 192,50%,0,Low
Fashion Women 3 Layers Beads Bar Tassel Charm Pendant-Golden,product,KSh 89,43%,0,Low
Rhinestone Alloy Ring Set 7-piece Celestial Rhinestone Ring for Women,product,KSh 186,34%,0,Low
Fashion Butterfly Necklace Double Layer Rust-proof Alloy-Golden,product,KSh 91,38%,0,Low
Fashion Rhinestone Mom Letter Love Heart Pendant-Rose Golden,product,KSh 178,17%,0,Low
Fashion Constellation Necklace Pendant Decorative Romantic Lovely-,product,KSh 136,33%,0,Low
Fashion Luxury Cubic Zirconia Inlaid Women Engagement Wedding Party Ring Jewelry Gift,product,KSh 145,49%,0,Low
Fashion 2Pcs Couple Bracelets 2 Matching Yin Yang Hand-Silver,product,KSh 116,36%,0,Low
Fashion Classic Ladies Anti Blue Cat Eye Glasses,product,KSh 486,44%,0,Low
Fashion Women Love Heart Design Bracelet Bangle Jewelry Chain-Black,product,KSh 60,30%,0,Low
Fashion Neckband Choker Double Layers Durable Velvet Black-Black,product,KSh 108,50%,0,Low
Fashion 7Pairs/Set Women Rhinestone Inlaid Sun Star Moon Stud-,product,KSh 210,38%,0,Low
Fashion 2Pcs/Set Best Friends Tai Chi Yin Yang Hollow Pendant Split Matching Necklace,product,KSh 161,49%,0,Low
